,YEAR,month,type,amount
1,1992,JAN,MED,146913
2,1992,FEB,MED,147270
3,1992,MAR,MED,146831
4,1992,APR,MED,148082
5,1992,MAY,MED,149015
6,1992,JUN,MED,149821
7,1992,JUL,MED,150809
8,1992,AUG,MED,151064
9,1992,SEP,MED,152595
10,1992,OCT,MED,153577
11,1992,NOV,MED,153605
12,1992,DEC,MED,155504
13,1992,JAN,LOW,138283.1
14,1992,FEB,LOW,139097.8
15,1992,MAR,LOW,139707.8
16,1992,APR,LOW,146174.1
17,1992,MAY,LOW,144659.5
18,1992,JUN,LOW,140761.8
19,1992,JUL,LOW,145347.8
20,1992,AUG,LOW,149368.9
21,1992,SEP,LOW,145721.9
22,1992,OCT,LOW,151195.6
23,1992,NOV,LOW,150228.7
24,1992,DEC,LOW,146701.6
25,1992,JAN,HIGH,148180.5
26,1992,FEB,HIGH,150315.3
27,1992,MAR,HIGH,149089.4
28,1992,APR,HIGH,157623.9
29,1992,MAY,HIGH,155522.7
30,1992,JUN,HIGH,158115.4
31,1992,JUL,HIGH,160292.5
32,1992,AUG,HIGH,152280.8
33,1992,SEP,HIGH,154387.8
34,1992,OCT,HIGH,157158
35,1992,NOV,HIGH,158224.6
36,1992,DEC,HIGH,162142.4
37,1993,JAN,MED,157525
38,1993,FEB,MED,156292
39,1993,MAR,MED,154774
40,1993,APR,MED,158996
41,1993,MAY,MED,160624
42,1993,JUN,MED,160171
43,1993,JUL,MED,162832
44,1993,AUG,MED,162491
45,1993,SEP,MED,163285
46,1993,OCT,MED,164711
47,1993,NOV,MED,166593
48,1993,DEC,MED,168101
49,1993,JAN,LOW,148895.1
50,1993,FEB,LOW,148119.8
51,1993,MAR,LOW,147650.8
52,1993,APR,LOW,157088.1
53,1993,MAY,LOW,156268.5
54,1993,JUN,LOW,151111.8
55,1993,JUL,LOW,157370.8
56,1993,AUG,LOW,160795.9
57,1993,SEP,LOW,156411.9
58,1993,OCT,LOW,162329.6
59,1993,NOV,LOW,163216.7
60,1993,DEC,LOW,159298.6
61,1993,JAN,HIGH,158792.5
62,1993,FEB,HIGH,159337.3
63,1993,MAR,HIGH,157032.4
64,1993,APR,HIGH,168537.9
65,1993,MAY,HIGH,167131.7
66,1993,JUN,HIGH,168465.4
67,1993,JUL,HIGH,172315.5
68,1993,AUG,HIGH,163707.8
69,1993,SEP,HIGH,165077.8
70,1993,OCT,HIGH,168292
71,1993,NOV,HIGH,171212.6
72,1993,DEC,HIGH,174739.4
73,1994,JAN,MED,167504
74,1994,FEB,MED,169652
75,1994,MAR,MED,172775
76,1994,APR,MED,173099
77,1994,MAY,MED,172340
78,1994,JUN,MED,174307
79,1994,JUL,MED,174801
80,1994,AUG,MED,177289
81,1994,SEP,MED,178776
82,1994,OCT,MED,180569
83,1994,NOV,MED,180695
84,1994,DEC,MED,181492
85,1994,JAN,LOW,158874.1
86,1994,FEB,LOW,161479.8
87,1994,MAR,LOW,165651.8
88,1994,APR,LOW,171191.1
89,1994,MAY,LOW,167984.5
90,1994,JUN,LOW,165247.8
91,1994,JUL,LOW,169339.8
92,1994,AUG,LOW,175593.9
93,1994,SEP,LOW,171902.9
94,1994,OCT,LOW,178187.6
95,1994,NOV,LOW,177318.7
96,1994,DEC,LOW,172689.6
97,1994,JAN,HIGH,168771.5
98,1994,FEB,HIGH,172697.3
99,1994,MAR,HIGH,175033.4
100,1994,APR,HIGH,182640.9
101,1994,MAY,HIGH,178847.7
102,1994,JUN,HIGH,182601.4
103,1994,JUL,HIGH,184284.5
104,1994,AUG,HIGH,178505.8
105,1994,SEP,HIGH,180568.8
106,1994,OCT,HIGH,184150
107,1994,NOV,HIGH,185314.6
108,1994,DEC,HIGH,188130.4
109,1995,JAN,MED,182423
110,1995,FEB,MED,179472
111,1995,MAR,MED,180996
112,1995,APR,MED,181702
113,1995,MAY,MED,183543
114,1995,JUN,MED,186088
115,1995,JUL,MED,185470
116,1995,AUG,MED,186814
117,1995,SEP,MED,187338
118,1995,OCT,MED,186546
119,1995,NOV,MED,189052
120,1995,DEC,MED,190809
121,1995,JAN,LOW,173793.1
122,1995,FEB,LOW,171299.8
123,1995,MAR,LOW,173872.8
124,1995,APR,LOW,179794.1
125,1995,MAY,LOW,179187.5
126,1995,JUN,LOW,177028.8
127,1995,JUL,LOW,180008.8
128,1995,AUG,LOW,185118.9
129,1995,SEP,LOW,180464.9
130,1995,OCT,LOW,184164.6
131,1995,NOV,LOW,185675.7
132,1995,DEC,LOW,182006.6
133,1995,JAN,HIGH,183690.5
134,1995,FEB,HIGH,182517.3
135,1995,MAR,HIGH,183254.4
136,1995,APR,HIGH,191243.9
137,1995,MAY,HIGH,190050.7
138,1995,JUN,HIGH,194382.4
139,1995,JUL,HIGH,194953.5
140,1995,AUG,HIGH,188030.8
141,1995,SEP,HIGH,189130.8
142,1995,OCT,HIGH,190127
143,1995,NOV,HIGH,193671.6
144,1995,DEC,HIGH,197447.4
145,1996,JAN,MED,189167
146,1996,FEB,MED,192269
147,1996,MAR,MED,193993
148,1996,APR,MED,194712
149,1996,MAY,MED,196210
150,1996,JUN,MED,196127
151,1996,JUL,MED,196229
152,1996,AUG,MED,196215
153,1996,SEP,MED,198843
154,1996,OCT,MED,200488
155,1996,NOV,MED,200200
156,1996,DEC,MED,201191
157,1996,JAN,LOW,180537.1
158,1996,FEB,LOW,184096.8
159,1996,MAR,LOW,186869.8
160,1996,APR,LOW,192804.1
161,1996,MAY,LOW,191854.5
162,1996,JUN,LOW,187067.8
163,1996,JUL,LOW,190767.8
164,1996,AUG,LOW,194519.9
165,1996,SEP,LOW,191969.9
166,1996,OCT,LOW,198106.6
167,1996,NOV,LOW,196823.7
168,1996,DEC,LOW,192388.6
169,1996,JAN,HIGH,190434.5
170,1996,FEB,HIGH,195314.3
171,1996,MAR,HIGH,196251.4
172,1996,APR,HIGH,204253.9
173,1996,MAY,HIGH,202717.7
174,1996,JUN,HIGH,204421.4
175,1996,JUL,HIGH,205712.5
176,1996,AUG,HIGH,197431.8
177,1996,SEP,HIGH,200635.8
178,1996,OCT,HIGH,204069
179,1996,NOV,HIGH,204819.6
180,1996,DEC,HIGH,207829.4
181,1997,JAN,MED,202414
182,1997,FEB,MED,204273
183,1997,MAR,MED,204965
184,1997,APR,MED,203372
185,1997,MAY,MED,201676
186,1997,JUN,MED,204666
187,1997,JUL,MED,207049
188,1997,AUG,MED,207643
189,1997,SEP,MED,208298
190,1997,OCT,MED,208064
191,1997,NOV,MED,208982
192,1997,DEC,MED,209379
193,1997,JAN,LOW,193784.1
194,1997,FEB,LOW,196100.8
195,1997,MAR,LOW,197841.8
196,1997,APR,LOW,201464.1
197,1997,MAY,LOW,197320.5
198,1997,JUN,LOW,195606.8
199,1997,JUL,LOW,201587.8
200,1997,AUG,LOW,205947.9
201,1997,SEP,LOW,201424.9
202,1997,OCT,LOW,205682.6
203,1997,NOV,LOW,205605.7
204,1997,DEC,LOW,200576.6
205,1997,JAN,HIGH,203681.5
206,1997,FEB,HIGH,207318.3
207,1997,MAR,HIGH,207223.4
208,1997,APR,HIGH,212913.9
209,1997,MAY,HIGH,208183.7
210,1997,JUN,HIGH,212960.4
211,1997,JUL,HIGH,216532.5
212,1997,AUG,HIGH,208859.8
213,1997,SEP,HIGH,210090.8
214,1997,OCT,HIGH,211645
215,1997,NOV,HIGH,213601.6
216,1997,DEC,HIGH,216017.4
217,1998,JAN,MED,209684
218,1998,FEB,MED,209532
219,1998,MAR,MED,210792
220,1998,APR,MED,213623
221,1998,MAY,MED,214619
222,1998,JUN,MED,216324
223,1998,JUL,MED,214853
224,1998,AUG,MED,213669
225,1998,SEP,MED,215712
226,1998,OCT,MED,219465
227,1998,NOV,MED,221150
228,1998,DEC,MED,223226
229,1998,JAN,LOW,201054.1
230,1998,FEB,LOW,201359.8
231,1998,MAR,LOW,203668.8
232,1998,APR,LOW,211715.1
233,1998,MAY,LOW,210263.5
234,1998,JUN,LOW,207264.8
235,1998,JUL,LOW,209391.8
236,1998,AUG,LOW,211973.9
237,1998,SEP,LOW,208838.9
238,1998,OCT,LOW,217083.6
239,1998,NOV,LOW,217773.7
240,1998,DEC,LOW,214423.6
241,1998,JAN,HIGH,210951.5
242,1998,FEB,HIGH,212577.3
243,1998,MAR,HIGH,213050.4
244,1998,APR,HIGH,223164.9
245,1998,MAY,HIGH,221126.7
246,1998,JUN,HIGH,224618.4
247,1998,JUL,HIGH,224336.5
248,1998,AUG,HIGH,214885.8
249,1998,SEP,HIGH,217504.8
250,1998,OCT,HIGH,223046
251,1998,NOV,HIGH,225769.6
252,1998,DEC,HIGH,229864.4
253,1999,JAN,MED,224020
254,1999,FEB,MED,226240
255,1999,MAR,MED,227407
256,1999,APR,MED,228978
257,1999,MAY,MED,231238
258,1999,JUN,MED,231926
259,1999,JUL,MED,233933
260,1999,AUG,MED,236589
261,1999,SEP,MED,237516
262,1999,OCT,MED,237560
263,1999,NOV,MED,240462
264,1999,DEC,MED,245498
265,1999,JAN,LOW,215390.1
266,1999,FEB,LOW,218067.8
267,1999,MAR,LOW,220283.8
268,1999,APR,LOW,227070.1
269,1999,MAY,LOW,226882.5
270,1999,JUN,LOW,222866.8
271,1999,JUL,LOW,228471.8
272,1999,AUG,LOW,234893.9
273,1999,SEP,LOW,230642.9
274,1999,OCT,LOW,235178.6
275,1999,NOV,LOW,237085.7
276,1999,DEC,LOW,236695.6
277,1999,JAN,HIGH,225287.5
278,1999,FEB,HIGH,229285.3
279,1999,MAR,HIGH,229665.4
280,1999,APR,HIGH,238519.9
281,1999,MAY,HIGH,237745.7
282,1999,JUN,HIGH,240220.4
283,1999,JUL,HIGH,243416.5
284,1999,AUG,HIGH,237805.8
285,1999,SEP,HIGH,239308.8
286,1999,OCT,HIGH,241141
287,1999,NOV,HIGH,245081.6
288,1999,DEC,HIGH,252136.4
289,2000,JAN,MED,243483
290,2000,FEB,MED,247133
291,2000,MAR,MED,249847
292,2000,APR,MED,245789
293,2000,MAY,MED,246225
294,2000,JUN,MED,248178
295,2000,JUL,MED,247184
296,2000,AUG,MED,247601
297,2000,SEP,MED,251812
298,2000,OCT,MED,251267
299,2000,NOV,MED,250225
300,2000,DEC,MED,250603
301,2000,JAN,LOW,234853.1
302,2000,FEB,LOW,238960.8
303,2000,MAR,LOW,242723.8
304,2000,APR,LOW,243881.1
305,2000,MAY,LOW,241869.5
306,2000,JUN,LOW,239118.8
307,2000,JUL,LOW,241722.8
308,2000,AUG,LOW,245905.9
309,2000,SEP,LOW,244938.9
310,2000,OCT,LOW,248885.6
311,2000,NOV,LOW,246848.7
312,2000,DEC,LOW,241800.6
313,2000,JAN,HIGH,244750.5
314,2000,FEB,HIGH,250178.3
315,2000,MAR,HIGH,252105.4
316,2000,APR,HIGH,255330.9
317,2000,MAY,HIGH,252732.7
318,2000,JUN,HIGH,256472.4
319,2000,JUL,HIGH,256667.5
320,2000,AUG,HIGH,248817.8
321,2000,SEP,HIGH,253604.8
322,2000,OCT,HIGH,254848
323,2000,NOV,HIGH,254844.6
324,2000,DEC,HIGH,257241.4
325,2001,JAN,MED,252736
326,2001,FEB,MED,252730
327,2001,MAR,MED,250346
328,2001,APR,MED,254759
329,2001,MAY,MED,255262
330,2001,JUN,MED,254020
331,2001,JUL,MED,253015
332,2001,AUG,MED,254570
333,2001,SEP,MED,249856
334,2001,OCT,MED,268072
335,2001,NOV,MED,260363
336,2001,DEC,MED,256552
337,2001,JAN,LOW,244106.1
338,2001,FEB,LOW,244557.8
339,2001,MAR,LOW,243222.8
340,2001,APR,LOW,252851.1
341,2001,MAY,LOW,250906.5
342,2001,JUN,LOW,244960.8
343,2001,JUL,LOW,247553.8
344,2001,AUG,LOW,252874.9
345,2001,SEP,LOW,242982.9
346,2001,OCT,LOW,265690.6
347,2001,NOV,LOW,256986.7
348,2001,DEC,LOW,247749.6
349,2001,JAN,HIGH,254003.5
350,2001,FEB,HIGH,255775.3
351,2001,MAR,HIGH,252604.4
352,2001,APR,HIGH,264300.9
353,2001,MAY,HIGH,261769.7
354,2001,JUN,HIGH,262314.4
355,2001,JUL,HIGH,262498.5
356,2001,AUG,HIGH,255786.8
357,2001,SEP,HIGH,251648.8
358,2001,OCT,HIGH,271653
359,2001,NOV,HIGH,264982.6
360,2001,DEC,HIGH,263190.4
361,2002,JAN,MED,256376
362,2002,FEB,MED,257677
363,2002,MAR,MED,257060
364,2002,APR,MED,261320
365,2002,MAY,MED,257616
366,2002,JUN,MED,259815
367,2002,JUL,MED,262811
368,2002,AUG,MED,264975
369,2002,SEP,MED,260650
370,2002,OCT,MED,262011
371,2002,NOV,MED,263559
372,2002,DEC,MED,265802
373,2002,JAN,LOW,247746.1
374,2002,FEB,LOW,249504.8
375,2002,MAR,LOW,249936.8
376,2002,APR,LOW,259412.1
377,2002,MAY,LOW,253260.5
378,2002,JUN,LOW,250755.8
379,2002,JUL,LOW,257349.8
380,2002,AUG,LOW,263279.9
381,2002,SEP,LOW,253776.9
382,2002,OCT,LOW,259629.6
383,2002,NOV,LOW,260182.7
384,2002,DEC,LOW,256999.6
385,2002,JAN,HIGH,257643.5
386,2002,FEB,HIGH,260722.3
387,2002,MAR,HIGH,259318.4
388,2002,APR,HIGH,270861.9
389,2002,MAY,HIGH,264123.7
390,2002,JUN,HIGH,268109.4
391,2002,JUL,HIGH,272294.5
392,2002,AUG,HIGH,266191.8
393,2002,SEP,HIGH,262442.8
394,2002,OCT,HIGH,265592
395,2002,NOV,HIGH,268178.6
396,2002,DEC,HIGH,272440.4
397,2003,JAN,MED,267276
398,2003,FEB,MED,263199
399,2003,MAR,MED,267842
400,2003,APR,MED,267240
401,2003,MAY,MED,267347
402,2003,JUN,MED,270432
403,2003,JUL,MED,273393
404,2003,AUG,MED,277901
405,2003,SEP,MED,276413
406,2003,OCT,MED,274779
407,2003,NOV,MED,278322
408,2003,DEC,MED,277567
409,2003,JAN,LOW,258646.1
410,2003,FEB,LOW,255026.8
411,2003,MAR,LOW,260718.8
412,2003,APR,LOW,265332.1
413,2003,MAY,LOW,262991.5
414,2003,JUN,LOW,261372.8
415,2003,JUL,LOW,267931.8
416,2003,AUG,LOW,276205.9
417,2003,SEP,LOW,269539.9
418,2003,OCT,LOW,272397.6
419,2003,NOV,LOW,274945.7
420,2003,DEC,LOW,268764.6
421,2003,JAN,HIGH,268543.5
422,2003,FEB,HIGH,266244.3
423,2003,MAR,HIGH,270100.4
424,2003,APR,HIGH,276781.9
425,2003,MAY,HIGH,273854.7
426,2003,JUN,HIGH,278726.4
427,2003,JUL,HIGH,282876.5
428,2003,AUG,HIGH,279117.8
429,2003,SEP,HIGH,278205.8
430,2003,OCT,HIGH,278360
431,2003,NOV,HIGH,282941.6
432,2003,DEC,HIGH,284205.4
433,2004,JAN,MED,278884
